Day,Part(s),Start,End,Notes
1,1+2,Tue 30 Nov 2021 21:25:06 PST,Tue 30 Nov 2021 21:56:23 PST,
2,1+2,,Wed  1 Dec 2021 21:21:59 PST,
2,1+2,Wed  1 Dec 2021 21:23:00 PST,Wed  1 Dec 2021 21:24:09 PST,
3,1+2,Thu  2 Dec 2021 21:09:54 PST,Thu  2 Dec 2021 22:01:11 PST,
4,1,Fri  3 Dec 2021 21:32:19 PST,Fri  3 Dec 2021 22:30:31 PST,
5,1+2,Sun  5 Dec 2021 07:17:58 PST,Sun  5 Dec 2021 08:30:29 PST,
6,1+2,Sun  5 Dec 2021 21:15:38 PST,Sun  5 Dec 2021 22:12:19 PST,
7,1+2,Mon  6 Dec 2021 21:21:30 PST,Mon  6 Dec 2021 22:39:11 PST,
8,1+2,Tue  7 Dec 2021 21:18:51 PST,Wed  8 Dec 2021 08:38:09 PST,
11,1+2,Sat 11 Dec 2021 09:11:19 PST,Sat 11 Dec 2021 11:13:42 PST,
